source_path,status,destination_or_note
03_shadows/lpc_shadow.png,DUPLICATE_HASH,already present in canonical library
03_shadows/lpc_shadow_child.png,DUPLICATE_HASH,already present in canonical library
99_source_archives/TilesDungeon.zip,ADDED,00_ORIGINAL_PACKS/audit_added/TilesDungeon.zip
99_source_archives/submission_daneeklu.zip,ADDED,00_ORIGINAL_PACKS/audit_added/submission_daneeklu.zip
99_source_archives/lpc_medieval_weapons.zip,ADDED,00_ORIGINAL_PACKS/audit_added/lpc_medieval_weapons.zip
99_source_archives/weapons-extended.zip,ADDED,00_ORIGINAL_PACKS/audit_added/weapons-extended.zip
01_characters/werewolf-alt-NESW.png,ADDED,01_CHARACTERS/werewolf-alt-NESW.png
01_characters/werewolf-48x64.xcf,ADDED,01_CHARACTERS/werewolf-48x64.xcf
01_characters/rabbit.png,ADDED,01_CHARACTERS/rabbit.png
01_characters/werewolf-alt-SWEN.png,ADDED,01_CHARACTERS/werewolf-alt-SWEN.png
01_characters/lpc minotaur complete.xcf,ADDED,01_CHARACTERS/lpc minotaur complete.xcf
01_characters/lpc faun complete.xcf,ADDED,01_CHARACTERS/lpc faun complete.xcf
01_characters/rabbit_reorganised.xcf,ADDED,01_CHARACTERS/rabbit_reorganised.xcf
02_animals/ram eat.png,ADDED,10_ANIMALS/ram eat.png
02_animals/ram_walk.png,ADDED,10_ANIMALS/ram_walk.png
04_weapons/weapons-extended/scythe-slash-oversize.png,ADDED,04_WEAPONS/weapons-extended/scythe-slash-oversize.png
04_weapons/weapons-extended/rapier.png,ADDED,04_WEAPONS/weapons-extended/rapier.png
04_weapons/weapons-extended/saber.png,ADDED,04_WEAPONS/weapons-extended/saber.png
04_weapons/weapons-extended/mace.png,ADDED,04_WEAPONS/weapons-extended/mace.png
04_weapons/weapons-extended/glowsword_blue.png,ADDED,04_WEAPONS/weapons-extended/glowsword_blue.png
04_weapons/weapons-extended/scythe.png,ADDED,04_WEAPONS/weapons-extended/scythe.png
04_weapons/weapons-extended/dagger.png,ADDED,04_WEAPONS/weapons-extended/dagger.png
04_weapons/weapons-extended/mace-slash-oversize.png,ADDED,04_WEAPONS/weapons-extended/mace-slash-oversize.png
04_weapons/weapons-extended/CREDITS-weapons.txt,DUPLICATE_HASH,already present in canonical library
04_weapons/weapons-extended/longsword.png,ADDED,04_WEAPONS/weapons-extended/longsword.png
04_weapons/weapons-extended/glowsword_red.png,ADDED,04_WEAPONS/weapons-extended/glowsword_red.png
04_weapons/LPC_Medieval_Weapons/Attribution.txt,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Attribution.txt
04_weapons/LPC_Medieval_Weapons/Female/War Axe/Hurt.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/War Axe/Hurt.png
04_weapons/LPC_Medieval_Weapons/Female/War Axe/War Axe Universal Female.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/War Axe/War Axe Universal Female.png
04_weapons/LPC_Medieval_Weapons/Female/War Axe/Walk.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/War Axe/Walk.png
04_weapons/LPC_Medieval_Weapons/Female/War Axe/Slash.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/War Axe/Slash.png
04_weapons/LPC_Medieval_Weapons/Female/Halberd/Hurt.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Halberd/Hurt.png
04_weapons/LPC_Medieval_Weapons/Female/Halberd/Thrust.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Halberd/Thrust.png
04_weapons/LPC_Medieval_Weapons/Female/Halberd/Walk.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Halberd/Walk.png
04_weapons/LPC_Medieval_Weapons/Female/Halberd/Halberd Universal Female.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Halberd/Halberd Universal Female.png
04_weapons/LPC_Medieval_Weapons/Female/Halberd/Slash.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Halberd/Slash.png
04_weapons/LPC_Medieval_Weapons/Female/Flail/Hurt.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Flail/Hurt.png
04_weapons/LPC_Medieval_Weapons/Female/Flail/Walk.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Flail/Walk.png
04_weapons/LPC_Medieval_Weapons/Female/Flail/Flail Universal Female.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Flail/Flail Universal Female.png
04_weapons/LPC_Medieval_Weapons/Female/Flail/Slash.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Female/Flail/Slash.png
04_weapons/LPC_Medieval_Weapons/Male/War Axe/War Axe Universal.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/War Axe/War Axe Universal.png
04_weapons/LPC_Medieval_Weapons/Male/War Axe/Hurt.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/War Axe/Hurt.png
04_weapons/LPC_Medieval_Weapons/Male/War Axe/Walk.png,ADDED,04_WEAPONS/LPC_Medieval_Weapons/Male/War Axe/Walk.png
